title,company,location,posted,salary,apply_link,source,nigeria_relevant,description
Web Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Front End Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Senior Frontend Engineer (React),Moniepoint Group,"Lagos, Lagos State, Nigeria",,,,linkedin,True,
Full stack Engineer Annotator,Odixcity Consulting,Nigeria,,,,linkedin,True,
Fullstack Developer NG,Core Code io,Nigeria,,,,linkedin,True,
Remote Full-Stack Developer,Turing,Nigeria,,,,linkedin,True,
Full Stack Developer | $80/hr Remote,Crossing Hurdles,Nigeria,,,,linkedin,True,
Full-Stack Software Engineer | $90/hr Remote,Crossing Hurdles,Nigeria,,,,linkedin,True,
Remote Fullstack Engineer,Turing,Nigeria,,,,linkedin,True,
Supply &amp; Logistics Coordinator,Nabu Casa,Remote,2026-06-10T19:58:38+00:00,,https://remoteOK.com/remote-jobs/remote-supply-amp-logistics-coordinator-nabu-casa-1133208,remoteok,False,"<strong>About Nabu Casa<br><br></strong>Nabu Casa is the organisation behind Home Assistant, the world's largest free and open-source smart home platform used by over two million households. We were founded to ensure the project's sustainability, and in 2024, we partnered with the Open Home Foundati"
Design Engineer,MrBeast,Remote,2026-06-10T18:38:58+00:00,,https://remoteOK.com/remote-jobs/remote-design-engineer-mrbeast-1133239,remoteok,False,"<strong>About Us</strong><p>Beast Industries is a multifaceted media and entertainment company founded by Jimmy Donaldson, popularly known as MrBeast, the most watched person in the world. Renowned for revolutionizing digital content creation, Beast Industries encompasses a diverse portfolio of vent"
Senior SDET,NDEAVOUR CONSULTING,Remote,2026-06-10T16:00:53+00:00,,https://remoteOK.com/remote-jobs/remote-senior-sdet-ndeavour-consulting-1133163,remoteok,False,"<p style=""min-height:1.5em"">Mobile Wave Solutions is a professional services company specializing in software development as a service. We are committed to delivering scalable, high-quality software solutions that meet the evolving needs of our clients. With a growing team of over 120 engineers and "
Clinical Coding Trainer,Torbay and South Devon NHS Foundation Trust,Remote,2026-06-10T09:05:42+00:00,,https://remoteOK.com/remote-jobs/remote-clinical-coding-trainer-torbay-and-south-devon-nhs-foundation-trust-1133221,remoteok,False,"An exciting opportunity has arisen for an NHS England Approved Clinical Coding Trainer to join the Torbay and South Devon (TSD) Clinical Coding Team.<br><br>We are seeking a skilled and motivated trainer to deliver a comprehensive training programme for Clinical Coding trainees and apprentices, whil"
Tutor a E Learning Industria Agroalimentaria,Grupo Coremsa,Remote,2026-06-10T09:03:59+00:00,,https://remoteOK.com/remote-jobs/remote-tutor-a-e-learning-industria-agroalimentaria-grupo-coremsa-1133213,remoteok,False,Â¿Quieres trabajar en el sector de la formaciÃ³n como docente? Â¿Te gustarÃ­a formar parte de una empresa consolidada y con un ambicioso proyecto de expansiÃ³n? Â¿Te gusta el trato con las personas y posees grandes habilidades comunicativas? Â¡Â¡QuizÃ¡s te pueda interesar esta oferta!!<br><br>Grupo 
Pessoa Desenvolvedora Frontend Júnior,Aarin techfin,Brazil,,,,linkedin,False,
Junior Front-End Developer - Remote,PULSE (MENA REGION),"Riyadh, Riyadh, Saudi Arabia",,,,linkedin,False,
Software Engineer,Zoom,India,,,,linkedin,False,
Frontend Developer – HTML/CSS (Freelancer),Deccan AI Experts,India,,,,linkedin,False,
Web Developer KE,Core Code io,"Nairobi, Nairobi County, Kenya",,,,linkedin,False,
Front End Developer KE,Core Code io,"Nairobi, Nairobi County, Kenya",,,,linkedin,False,
Front End Developer ZA 6,Core Code io,"Johannesburg, Gauteng, South Africa",,,,linkedin,False,
Front End Developer EG,Core Code io,"Cairo, Cairo, Egypt",,,,linkedin,False,
Front End Developer ZA,Core Code io,"Cape Town, Western Cape, South Africa",,,,linkedin,False,
Front End Developer ZA 2,Core Code io,"Cape Town, Western Cape, South Africa",,,,linkedin,False,
Web Developer EG,Core Code io,"Cairo, Cairo, Egypt",,,,linkedin,False,
Web Developer ZA 6,Core Code io,"Johannesburg, Gauteng, South Africa",,,,linkedin,False,
Frontend Developer | $70/hr Remote,Crossing Hurdles,South Africa,,,,linkedin,False,
